Type,Location,Footprint,Tot_area,Floors,Build_life,CO2,Building_Construction_Type,Type_B,Location_B,Footprint_B,Tot_area_B,Floors_B,clear_Footprint,clear_floors,Clear_Area
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,198.1,0,0,2,9,9,3,95877.96,25.73,2466939.9108
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,199.0,2,0,4,5,3,0,10127.2,1.33,13469.176000000001
Commercial,North America,Over 92903,Over 1 million,More than 25,100,199.3,0,0,4,9,9,3,95918.95,25.74,2468953.7729999996
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,200.0,2,0,4,7,2,0,1015.69,1.33,1350.8677000000002
Residential,Europe,94 to 465,"1,001 to 5,000",1 to 6,50,200.0,2,3,2,8,1,0,139.88,1.33,186.0404
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,200.0,2,3,4,8,1,0,139.88,1.33,186.0404
Commercial,North America,Over 92903,Over 1 million,More than 25,100,200.2,0,0,4,9,9,3,95949.69,25.75,2470704.5175
Residential,North America,18581 to 46451,"200,001 to 500,000",More than 25,50,201.0,0,3,4,0,4,3,20861.72,25.76,537397.9072
Commercial,North America,Over 92903,Over 1 million,More than 25,100,202.9,0,0,4,9,9,3,96041.91,25.77,2475000.0207
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",1 to 6,50,203.0,2,0,1,2,8,0,48019.65,1.33,63866.13450000001
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,203.0,2,0,4,0,4,0,20893.15,1.33,27787.889500000005
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,204.7,2,3,4,8,1,0,141.09,1.34,189.06060000000002
Residential,North America,18581 to 46451,"200,001 to 500,000",15 to 25,50,206.0,0,3,4,0,4,1,20940.31,16.52,345933.92120000004
Commercial,North America,9291 to 18580,"100,001 to 200,000",7 to 14,40,206.4,3,0,4,5,3,2,10164.54,7.58,77047.21320000001
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,206.8,2,3,4,8,1,0,141.62,1.34,189.7708
Commercial,North America,18581 to 46451,"200,001 to 500,000",15 to 25,50,207.0,0,0,4,0,4,1,20956.03,16.53,346403.17590000003
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,50,208.0,3,0,4,2,8,2,48095.74,7.59,365046.6666
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,208.6,0,0,2,9,9,3,96236.59,25.82,2484828.7538
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,209.1,2,3,4,8,1,0,142.22,1.34,190.5748
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,211.0,2,0,4,3,7,0,5044.77,1.35,6810.439500000001
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,211.0,2,0,4,4,6,0,486.77,1.35,657.1395
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,211.3,2,3,4,8,1,0,142.78,1.35,192.75300000000001
Commercial,North America,Over 92903,Over 1 million,More than 25,100,211.4,0,0,4,9,9,3,96332.23,25.84,2489224.8232
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,213.0,2,0,4,0,4,0,21050.33,1.35,28417.945500000005
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,213.0,0,0,2,9,9,3,96386.88,25.85,2491600.848
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,213.0,0,0,2,9,9,3,96386.88,25.85,2491600.848
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,213.3,2,3,4,8,1,0,143.3,1.35,193.45500000000004
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,215.0,2,3,4,8,1,0,143.73,1.36,195.4728
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,215.2,2,3,4,8,1,0,143.78,1.36,195.54080000000002
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,215.6,0,0,2,9,9,3,96475.68,25.88,2496790.5983999996
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,60,216.1,2,0,4,3,7,0,5055.9,1.36,6876.024
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,60,216.1,2,0,4,3,7,0,5055.9,1.36,6876.024
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,220.0,2,0,4,1,5,0,2539.11,1.36,3453.1896000000006
Commercial,North America,9291 to 18580,"100,001 to 200,000",7 to 14,50,221.0,3,0,4,5,3,2,10238.22,7.64,78220.0008
Residential,Asia-Pacific,9291 to 18580,"100,001 to 200,000",More than 25,100,221.5,0,3,1,5,3,3,10240.74,25.92,265439.9808
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,222.2,2,3,4,8,1,0,145.58,1.37,199.44460000000004
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,223.0,2,0,4,7,2,0,1027.58,1.37,1407.7846
Commercial,North America,Over 92903,Over 1 million,15 to 25,50,224.0,0,0,4,9,9,1,96762.59,16.67,1613032.3753000002
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,225.0,3,0,4,0,4,2,21238.95,7.65,162477.9675
Commercial,North America,18581 to 46451,"200,001 to 500,000",15 to 25,40,225.0,3,0,4,0,4,1,21238.95,16.68,354265.686
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,227.0,2,0,4,0,4,0,21270.39,1.38,29353.138199999998
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,40,227.7,2,0,4,5,3,0,10272.03,1.38,14175.4014
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,60,228.5,2,0,4,3,7,0,5082.96,1.38,7014.484799999999
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,60,228.5,2,0,4,3,7,0,5082.96,1.38,7014.484799999999
Commercial,North America,46452 to 92903,"500,001 to 1 million",15 to 25,50,229.0,3,0,4,2,8,1,48415.36,16.72,809504.8191999999
Commercial,North America,Over 92903,Over 1 million,More than 25,100,229.6,0,0,4,9,9,3,96953.86,25.99,2519830.8214
Commercial,North America,Over 92903,Over 1 million,More than 25,100,229.9,0,0,4,9,9,3,96964.11,25.99,2520097.2188999997
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,230.0,2,0,4,3,7,0,5086.24,1.38,7019.011199999999
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,231.0,2,0,4,0,4,0,21333.26,1.38,29439.898799999995
Residential,Asia-Pacific,9291 to 18580,"100,001 to 200,000",More than 25,100,231.0,0,3,1,5,3,3,10288.68,26.0,267505.68
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,232.0,2,0,4,3,7,0,5090.6,1.39,7075.934
Commercial,North America,46452 to 92903,"500,001 to 1 million",15 to 25,50,235.0,3,0,4,2,8,1,48506.68,16.77,813457.0236
Residential,Asia-Pacific,9291 to 18580,"100,001 to 200,000",15 to 25,50,236.0,3,3,1,5,3,1,10313.92,16.78,173067.57760000002
Commercial,North America,Over 92903,Over 1 million,More than 25,100,236.3,0,0,4,9,9,3,97182.71,26.05,2531609.5955000003
Commercial,North America,Over 92903,Over 1 million,More than 25,100,236.3,0,0,4,9,9,3,97182.71,26.05,2531609.5955000003
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,237.0,2,0,4,0,4,0,21427.57,1.4,29998.597999999998
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,240.0,3,0,4,0,4,2,21474.73,7.71,165570.1683
Commercial,North America,Over 92903,Over 1 million,More than 25,100,240.7,0,0,4,9,9,3,97332.99,26.08,2538444.3792
Commercial,North America,46452 to 92903,"500,001 to 1 million",1 to 6,50,241.0,2,0,4,2,8,0,48598.0,1.4,68037.2
Commercial,Asia-Pacific,2324 to 4645,"25,001 to 50,000",7 to 14,60,241.7,3,0,1,1,5,2,2567.98,7.72,19824.8056
Commercial,North America,Over 92903,Over 1 million,More than 25,50,242.0,0,0,4,9,9,3,97377.39,26.09,2540576.1051
Commercial,North America,Over 92903,Over 1 million,More than 25,50,245.0,0,0,4,9,9,3,97479.86,26.12,2546173.9432
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,245.5,0,0,2,9,9,3,97496.94,26.12,2546620.0728
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,245.5,0,0,2,9,9,3,97496.94,26.12,2546620.0728
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,247.0,0,0,4,3,7,0,5123.34,1.41,7223.9094
Commercial,North America,Over 92903,Over 1 million,More than 25,100,247.1,0,0,4,9,9,3,97551.59,26.13,2549023.0467
Commercial,North America,Over 92903,Over 1 million,More than 25,100,247.8,0,0,4,9,9,3,97575.5,26.14,2550623.57
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,248.0,3,0,4,5,3,0,10374.47,1.42,14731.747399999998
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,250.8,0,0,2,9,9,3,97677.96,26.16,2555255.4336
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,251.0,3,0,4,5,3,0,10389.61,1.42,14753.2462
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,252.0,3,0,4,1,5,0,2581.68,1.42,3665.9855999999995
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,252.0,3,0,4,3,7,0,5134.26,1.42,7290.6492
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,252.0,3,0,4,5,3,0,10394.66,1.42,14760.4172
Residential,North America,18581 to 46451,"200,001 to 500,000",More than 25,50,253.0,0,3,4,0,4,3,21679.06,26.18,567557.7908000001
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,50,254.0,3,0,4,2,8,2,48795.86,7.76,378655.8736
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,254.0,3,0,4,5,3,0,10404.75,1.43,14878.7925
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,255.0,3,0,4,7,2,0,1044.13,1.43,1493.1059
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,255.0,3,0,4,7,2,0,1044.13,1.43,1493.1059
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,50,256.0,3,0,4,2,8,2,48826.3,7.77,379380.351
Commercial,North America,Over 92903,Over 1 million,7 to 14,50,256.0,3,0,4,9,9,2,97855.57,7.77,760337.7789
Residential,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,50,257.0,0,3,1,2,8,3,48841.52,26.22,1280624.6543999999
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,257.0,3,0,4,0,4,2,21741.94,7.77,168934.87379999997
Commercial,North America,Over 92903,Over 1 million,More than 25,100,257.6,0,0,4,9,9,3,97910.22,26.22,2567205.9684
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,258.0,3,0,4,0,4,0,21757.66,1.43,31113.4538
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,258.0,3,0,4,1,5,0,2589.66,1.43,3703.2137999999995
Commercial,North America,46452 to 92903,"500,001 to 1 million",More than 25,50,258.0,0,0,4,2,8,3,48856.74,26.22,1281023.7227999999
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,258.3,0,0,2,9,9,3,97934.13,26.23,2568812.2299
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",7 to 14,50,259.0,3,0,1,2,8,2,48871.96,7.78,380223.8488
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,259.0,3,0,4,0,4,0,21773.37,1.44,31353.652799999996
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,259.6,3,0,4,7,2,0,1046.51,1.44,1506.9743999999998
Residential,North America,4646 to 9290,"50,001 to 100,000",7 to 14,50,260.0,3,3,4,3,7,2,5151.72,7.79,40131.8988
Commercial,North America,46452 to 92903,"500,001 to 1 million",More than 25,50,260.0,0,0,4,2,8,3,48887.18,26.24,1282799.6032
Commercial,North America,18581 to 46451,"200,001 to 500,000",15 to 25,50,261.0,3,0,4,0,4,1,21804.81,17.0,370681.77
Residential,Europe,4646 to 9290,"50,001 to 100,000",7 to 14,50,261.3,3,3,2,3,7,2,5154.55,7.79,40153.944500000005
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,262.0,3,0,4,3,7,0,5156.08,1.44,7424.7552
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,264.0,3,0,4,5,3,0,10455.22,1.45,15160.068999999998
Commercial,Europe,18581 to 46451,"200,001 to 500,000",7 to 14,40,265.1,3,0,2,0,4,2,21869.25,7.81,170798.8425
Commercial,North America,Over 92903,Over 1 million,More than 25,100,265.1,0,0,4,9,9,3,98166.39,26.28,2579812.7292
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,40,265.7,3,0,4,0,4,0,21878.69,1.45,31724.100499999997
Commercial,North America,Over 92903,Over 1 million,More than 25,50,266.0,0,0,4,9,9,3,98197.13,26.29,2581602.5477
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,266.0,3,0,4,3,7,0,5164.81,1.45,7488.9745
Commercial,Asia-Pacific,2324 to 4645,"25,001 to 50,000",7 to 14,60,266.7,3,0,1,1,5,2,2601.24,7.81,20315.6844
Commercial,North America,9291 to 18580,"100,001 to 200,000",7 to 14,40,269.9,3,0,4,5,3,2,10484.99,7.82,81992.62180000001
Commercial,Asia-Pacific,9291 to 18580,"100,001 to 200,000",1 to 6,40,271.4,3,0,1,5,3,0,10492.56,1.46,15319.137599999998
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,272.0,3,0,4,5,3,0,10495.59,1.46,15323.5614
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,273.0,3,0,4,3,7,0,5180.09,1.46,7562.9314
Residential,Europe,93 or less,"1,000 or less",1 to 6,50,273.2,3,3,2,6,0,0,93.0,1.46,135.78
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,274.0,3,0,4,1,5,0,2610.95,1.46,3811.9869999999996
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,276.0,3,0,4,5,3,0,10515.77,1.47,15458.1819
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,277.0,3,0,4,7,2,0,1055.51,1.47,1551.5997
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,40,281.6,3,0,4,0,4,2,22128.61,7.87,174152.1607
Commercial,North America,Over 92903,Over 1 million,More than 25,50,283.0,0,0,4,9,9,3,98777.78,26.43,2610696.7254
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,285.0,3,0,4,5,3,0,10561.19,1.48,15630.5612
Commercial,North America,9291 to 18580,"100,001 to 200,000",7 to 14,50,285.0,3,0,4,5,3,2,10561.19,7.88,83222.1772
Commercial,North America,Over 92903,Over 1 million,More than 25,100,285.4,0,0,4,9,9,3,98859.75,26.45,2614840.3874999997
Commercial,North America,Over 92903,Over 1 million,More than 25,100,285.4,0,0,4,9,9,3,98859.75,26.45,2614840.3874999997
Commercial,North America,46452 to 92903,"500,001 to 1 million",1 to 6,50,286.0,3,0,4,2,8,0,49282.89,1.49,73431.5061
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,286.0,3,0,4,7,2,0,1060.16,1.49,1579.6384
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,286.0,3,0,4,1,5,0,2626.91,1.49,3914.0959
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,289.0,3,0,4,3,7,0,5215.01,1.49,7770.3649000000005
Commercial,Africa,Over 92903,Over 1 million,More than 25,50,292.0,0,0,0,9,9,3,99085.18,26.5,2625757.27
Residential,North America,4646 to 9290,"50,001 to 100,000",7 to 14,50,292.0,3,3,4,3,7,2,5221.56,7.91,41302.539600000004
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,40,292.3,3,0,4,5,3,0,10598.03,1.5,15897.045000000002
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,40,293.6,3,0,4,5,3,0,10604.59,1.5,15906.885
Commercial,North America,4646 to 9290,"50,001 to 100,000",7 to 14,50,294.0,3,0,4,3,7,2,5225.93,7.92,41389.365600000005
Commercial,North America,46452 to 92903,"500,001 to 1 million",More than 25,50,294.0,0,0,4,2,8,3,49404.65,26.52,1310211.318
Commercial,North America,2324 to 4645,"25,001 to 50,000",7 to 14,50,300.0,3,0,4,1,5,2,2645.54,7.94,21005.5876
Commercial,Asia-Pacific,9291 to 18580,"100,001 to 200,000",1 to 6,40,302.7,3,0,1,5,3,0,10650.51,1.52,16188.7752
Commercial,North America,46452 to 92903,"500,001 to 1 million",More than 25,40,303.7,1,0,4,2,8,3,49552.28,26.6,1318090.648
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,304.0,3,0,4,3,7,0,5247.75,1.52,7976.58
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,40,305.3,3,0,4,0,4,0,22501.13,1.52,34201.7176
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",1 to 6,40,306.8,3,0,1,0,4,0,22524.7,1.52,34237.544
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,40,308.3,3,0,4,3,7,0,5257.14,1.53,8043.4242
Residential,North America,18581 to 46451,"200,001 to 500,000",More than 25,50,309.0,1,3,4,0,4,3,22559.28,26.64,600979.2191999999
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,309.0,0,0,4,5,3,0,10682.31,1.53,16343.934299999999
Commercial,Europe,9291 to 18580,"100,001 to 200,000",1 to 6,50,309.0,0,0,2,5,3,0,10682.31,1.53,16343.934299999999
Commercial,North America,9291 to 18580,"100,001 to 200,000",7 to 14,50,310.0,0,0,4,5,3,2,10687.35,7.98,85285.05300000001
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,310.0,0,0,4,1,5,0,2658.84,1.53,4068.0252000000005
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,40,310.2,0,0,4,2,8,2,49651.21,7.98,396216.6558
Residential,North America,18581 to 46451,"200,001 to 500,000",7 to 14,40,312.8,0,3,4,0,4,2,22619.01,7.99,180725.88989999998
Commercial,Middle East,18581 to 46451,"200,001 to 500,000",1 to 6,50,313.0,0,0,3,0,4,0,22622.16,1.54,34838.1264
Residential,Europe,2324 to 4645,"25,001 to 50,000",7 to 14,50,314.0,0,3,2,1,5,2,2664.16,7.99,21286.6384
Residential,Asia-Pacific,Over 92903,Over 1 million,More than 25,50,316.0,0,3,1,9,9,3,99904.92,26.7,2667461.364
Commercial,Asia-Pacific,4646 to 9290,"50,001 to 100,000",15 to 25,50,317.0,0,0,1,3,7,1,5276.13,17.49,92279.5137
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,317.0,0,0,4,4,6,0,505.27,1.54,778.1158
Commercial,North America,Over 92903,Over 1 million,7 to 14,40,318.6,0,0,4,9,9,2,99993.72,8.01,800949.6971999999
Residential,Asia-Pacific,4646 to 9290,"50,001 to 100,000",1 to 6,60,319.6,0,3,1,3,7,0,5281.8,1.55,8186.790000000001
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",7 to 14,50,321.0,0,0,1,2,8,2,49815.59,8.02,399521.03179999994
Residential,Europe,4646 to 9290,"50,001 to 100,000",7 to 14,50,321.8,0,3,2,3,7,2,5286.6,8.02,42398.532
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,322.0,0,0,4,7,2,0,1078.78,1.55,1672.109
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,323.0,0,0,4,3,7,0,5289.22,1.55,8198.291000000001
Residential,Asia-Pacific,Over 92903,Over 1 million,More than 25,50,328.0,1,3,1,9,9,3,100314.78,26.8,2688436.104
Commercial,North America,18581 to 46451,"200,001 to 500,000",More than 25,50,328.0,1,0,4,0,4,3,22857.93,26.8,612592.524
Residential,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,328.0,0,3,4,1,5,0,2682.79,1.56,4185.1524
Commercial,Europe,4646 to 9290,"50,001 to 100,000",7 to 14,50,329.0,0,0,2,3,7,2,5302.32,8.05,42683.676
Commercial,Middle East,Over 92903,Over 1 million,7 to 14,50,335.0,0,0,3,9,9,2,100553.87,8.07,811469.7309
Commercial,North America,46452 to 92903,"500,001 to 1 million",15 to 25,50,336.0,0,0,4,2,8,1,50043.89,17.66,883775.0974
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,40,338.0,0,0,4,0,4,0,23015.11,1.58,36363.8738
Commercial,Middle East,9291 to 18580,"100,001 to 200,000",1 to 6,50,340.0,0,0,3,5,3,0,10838.75,1.58,17125.225000000002
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,40,340.8,0,0,4,1,5,0,2699.81,1.59,4292.6979
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,50,341.0,0,0,4,2,8,2,50119.99,8.1,405971.919
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,341.0,0,0,4,0,4,2,23062.27,8.1,186804.387
Commercial,Asia-Pacific,2324 to 4645,"25,001 to 50,000",7 to 14,60,341.7,0,0,1,1,5,2,2701.01,8.1,21878.181
Residential,Asia-Pacific,4646 to 9290,"50,001 to 100,000",15 to 25,50,342.0,0,3,1,3,7,1,5330.69,17.71,94406.5199
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,343.0,0,0,4,3,7,0,5332.88,1.59,8479.2792
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,344.0,0,0,4,1,5,0,2704.07,1.59,4299.4713
Commercial,North America,46452 to 92903,"500,001 to 1 million",1 to 6,40,346.4,0,0,4,2,8,0,50202.17,1.6,80323.47200000001
Commercial,Middle East,9291 to 18580,"100,001 to 200,000",7 to 14,40,347.0,0,0,3,5,3,2,10874.07,8.12,88297.4484
Commercial,Asia-Pacific,2324 to 4645,"25,001 to 50,000",7 to 14,60,350.0,0,0,1,1,5,2,2712.05,8.13,22048.966500000002
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,352.0,0,0,4,7,2,0,1094.29,1.61,1761.8069
Commercial,Europe,18581 to 46451,"200,001 to 500,000",7 to 14,60,352.1,0,0,2,0,4,2,23236.74,8.14,189147.06360000002
Commercial,Europe,46452 to 92903,"500,001 to 1 million",7 to 14,40,354.8,0,0,2,2,8,2,50330.02,8.15,410189.663
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,355.0,0,0,4,4,6,0,511.9,1.61,824.159
Residential,North America,46452 to 92903,"500,001 to 1 million",More than 25,50,355.0,1,3,4,2,8,3,50333.06,27.02,1359999.2811999999
Residential,Europe,9291 to 18580,"100,001 to 200,000",7 to 14,40,355.0,0,3,2,5,3,2,10914.44,8.15,88952.686
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,50,356.0,1,0,1,9,9,3,101271.14,27.03,2737358.9142
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,356.0,0,0,4,0,4,0,23298.04,1.61,37509.8444
Commercial,Asia-Pacific,2324 to 4645,"25,001 to 50,000",7 to 14,60,358.3,0,0,1,1,5,2,2723.09,8.16,22220.4144
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,359.0,0,0,4,1,5,0,2724.03,1.62,4412.9286
Commercial,Asia-Pacific,2324 to 4645,"25,001 to 50,000",1 to 6,40,359.2,0,0,1,1,5,0,2724.29,1.62,4413.3498
Commercial,Middle East,Over 92903,Over 1 million,7 to 14,50,361.0,0,0,3,9,9,2,101441.92,8.17,828780.4863999999
Residential,Europe,94 to 465,"1,001 to 5,000",1 to 6,50,362.1,0,3,2,8,1,0,181.54,1.63,295.9102
